,ghi_w_m2
2023-01-01 00:00:00,0.0
2023-01-01 01:00:00,0.0
2023-01-01 02:00:00,0.0
2023-01-01 03:00:00,0.0
2023-01-01 04:00:00,0.0
2023-01-01 05:00:00,11.68
2023-01-01 06:00:00,136.07
2023-01-01 07:00:00,310.15
2023-01-01 08:00:00,527.33
2023-01-01 09:00:00,593.42
2023-01-01 10:00:00,666.62
2023-01-01 11:00:00,713.78
2023-01-01 12:00:00,757.0
2023-01-01 13:00:00,777.6
2023-01-01 14:00:00,659.6
2023-01-01 15:00:00,534.62
2023-01-01 16:00:00,337.92
2023-01-01 17:00:00,134.8
2023-01-01 18:00:00,7.9
2023-01-01 19:00:00,0.0
2023-01-01 20:00:00,0.0
2023-01-01 21:00:00,0.0
2023-01-01 22:00:00,0.0
2023-01-01 23:00:00,0.0
2023-01-02 00:00:00,0.0
2023-01-02 01:00:00,0.0
2023-01-02 02:00:00,0.0
2023-01-02 03:00:00,0.0
2023-01-02 04:00:00,0.0
2023-01-02 05:00:00,9.18
2023-01-02 06:00:00,118.57
2023-01-02 07:00:00,251.73
2023-01-02 08:00:00,418.05
2023-01-02 09:00:00,570.97
2023-01-02 10:00:00,723.0
2023-01-02 11:00:00,756.9
2023-01-02 12:00:00,733.22
2023-01-02 13:00:00,568.17
2023-01-02 14:00:00,495.45
2023-01-02 15:00:00,342.23
2023-01-02 16:00:00,189.85
2023-01-02 17:00:00,75.15
2023-01-02 18:00:00,6.7
2023-01-02 19:00:00,0.0
2023-01-02 20:00:00,0.0
2023-01-02 21:00:00,0.0
2023-01-02 22:00:00,0.0
2023-01-02 23:00:00,0.0
2023-01-03 00:00:00,0.0
2023-01-03 01:00:00,0.0
2023-01-03 02:00:00,0.0
2023-01-03 03:00:00,0.0
2023-01-03 04:00:00,0.0
2023-01-03 05:00:00,8.75
2023-01-03 06:00:00,98.3
2023-01-03 07:00:00,243.0
2023-01-03 08:00:00,445.85
2023-01-03 09:00:00,560.53
2023-01-03 10:00:00,704.05
2023-01-03 11:00:00,698.45
2023-01-03 12:00:00,588.55
2023-01-03 13:00:00,326.15
2023-01-03 14:00:00,189.05
2023-01-03 15:00:00,308.7
2023-01-03 16:00:00,191.77
2023-01-03 17:00:00,82.15
2023-01-03 18:00:00,5.57
2023-01-03 19:00:00,0.0
2023-01-03 20:00:00,0.0
2023-01-03 21:00:00,0.0
2023-01-03 22:00:00,0.0
2023-01-03 23:00:00,0.0
2023-01-04 00:00:00,0.0
2023-01-04 01:00:00,0.0
2023-01-04 02:00:00,0.0
2023-01-04 03:00:00,0.0
2023-01-04 04:00:00,0.0
2023-01-04 05:00:00,10.32
2023-01-04 06:00:00,126.88
2023-01-04 07:00:00,307.27
2023-01-04 08:00:00,484.25
2023-01-04 09:00:00,668.9
2023-01-04 10:00:00,783.55
2023-01-04 11:00:00,882.2
2023-01-04 12:00:00,819.58
2023-01-04 13:00:00,847.78
2023-01-04 14:00:00,697.08
2023-01-04 15:00:00,522.35
2023-01-04 16:00:00,307.8
2023-01-04 17:00:00,121.95
2023-01-04 18:00:00,7.97
2023-01-04 19:00:00,0.0
2023-01-04 20:00:00,0.0
2023-01-04 21:00:00,0.0
2023-01-04 22:00:00,0.0
2023-01-04 23:00:00,0.0
2023-01-05 00:00:00,0.0
2023-01-05 01:00:00,0.0
2023-01-05 02:00:00,0.0
2023-01-05 03:00:00,0.0
2023-01-05 04:00:00,0.0
2023-01-05 05:00:00,12.48
2023-01-05 06:00:00,172.7
2023-01-05 07:00:00,403.35
2023-01-05 08:00:00,647.2
2023-01-05 09:00:00,785.88
2023-01-05 10:00:00,859.45
2023-01-05 11:00:00,801.75
2023-01-05 12:00:00,582.55
2023-01-05 13:00:00,140.62
2023-01-05 14:00:00,219.62
2023-01-05 15:00:00,310.88
2023-01-05 16:00:00,172.12
2023-01-05 17:00:00,68.1
2023-01-05 18:00:00,5.62
2023-01-05 19:00:00,0.0
2023-01-05 20:00:00,0.0
2023-01-05 21:00:00,0.0
2023-01-05 22:00:00,0.0
2023-01-05 23:00:00,0.0
2023-01-06 00:00:00,0.0
2023-01-06 01:00:00,0.0
2023-01-06 02:00:00,0.0
2023-01-06 03:00:00,0.0
2023-01-06 04:00:00,0.0
2023-01-06 05:00:00,7.1
2023-01-06 06:00:00,82.65
2023-01-06 07:00:00,222.68
2023-01-06 08:00:00,391.45
2023-01-06 09:00:00,514.38
2023-01-06 10:00:00,749.15
2023-01-06 11:00:00,804.92
2023-01-06 12:00:00,754.15
2023-01-06 13:00:00,387.5
2023-01-06 14:00:00,263.83
2023-01-06 15:00:00,215.98
2023-01-06 16:00:00,159.55
2023-01-06 17:00:00,57.47
2023-01-06 18:00:00,2.45
2023-01-06 19:00:00,0.0
2023-01-06 20:00:00,0.0
2023-01-06 21:00:00,0.0
2023-01-06 22:00:00,0.0
2023-01-06 23:00:00,0.0
2023-01-07 00:00:00,0.0
2023-01-07 01:00:00,0.0
2023-01-07 02:00:00,0.0
2023-01-07 03:00:00,0.0
2023-01-07 04:00:00,0.0
2023-01-07 05:00:00,3.17
2023-01-07 06:00:00,37.47
2023-01-07 07:00:00,112.47
2023-01-07 08:00:00,192.15
2023-01-07 09:00:00,286.73
2023-01-07 10:00:00,519.62
2023-01-07 11:00:00,637.17
2023-01-07 12:00:00,656.88
2023-01-07 13:00:00,631.9
2023-01-07 14:00:00,528.97
2023-01-07 15:00:00,365.62
2023-01-07 16:00:00,155.88
2023-01-07 17:00:00,66.57
2023-01-07 18:00:00,4.1
2023-01-07 19:00:00,0.0
2023-01-07 20:00:00,0.0
2023-01-07 21:00:00,0.0
2023-01-07 22:00:00,0.0
2023-01-07 23:00:00,0.0
2023-01-08 00:00:00,0.0
2023-01-08 01:00:00,0.0
2023-01-08 02:00:00,0.0
2023-01-08 03:00:00,0.0
2023-01-08 04:00:00,0.0
2023-01-08 05:00:00,5.3
2023-01-08 06:00:00,65.57
2023-01-08 07:00:00,175.15
2023-01-08 08:00:00,291.9
2023-01-08 09:00:00,394.4
2023-01-08 10:00:00,374.0
2023-01-08 11:00:00,385.38
2023-01-08 12:00:00,416.7
2023-01-08 13:00:00,399.2
2023-01-08 14:00:00,453.75
2023-01-08 15:00:00,300.7
2023-01-08 16:00:00,184.75
